deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
4110,Low,2023-01-31,2661,Dry Bulk,1.919233401779603,"In the last three months, the life boat was not maneuvered.",The Emergency Diesel Generator tank was not marked for 18.0 hours of working at maximum capacity during the PSC Inspection at port Taman.,Failure to follow procedure and instructions is the immediate cause of substandard acts.,There was no record of maneuvering the life boat in the past few months because of bad weather or not obtaining a permit.,The life boat will be lowered into the sea by the ship master before he leaves.,The crew should note the reasons on the log book and look for another chance to lower the life boat.,No
1220,Low,2024-05-27,1698,Dry Bulk,11.819301848049282,The Seafarer employment agreement was not signed by the company.,The Medical Certificate does not have C/E's signature on it.,Instructions were given for the post to be on the bridge.,Their contract document was not confirmed by officers.,The un-signed seafarer agreement was checked by the ship's officer and signed by the master.,The master checked the other seafarers' contract agreement.,No
99102,High,2024-03-08,2318,Dry Bulk,0.1834360027378508,Engine room officers do not have enough knowledge of the English language.,"The Deck Log Book was printed in English for Bridge-to-Bridge / Bridge-to-Shore communications, but the PSCO wanted it to be handwritten.",A safety meeting was held.,Crew's mother language is not English and she doesn't speak it very well.,Daily English listening and speaking practice.,There is daily English listening and speaking training.,No
18423,High,2024-05-01,2150,Chemical,16.16700889801506,There was no SDS in the paint store at the time of inspection.,There was no SDS in the paint store at the time of inspection.,The ship crew doesn't have a concept of garbage management.,The Material Safety Data Sheet was not located in the paint store and could not be presented to the PSCO.,It is visible to all personnel entering the paint store when it is kept at it's designated place.,The staff at the ship's stores were told to make a bright box to keep the sds for paints and chemicals.,No
14613,Low,2023-08-03,1459,Dry Bulk,12.09034907597536,There are no entries in the records for the main engine and auxiliary engines since the year 2021.,The PSC deficiency was caused by the PSC Inspector keeping the records in hard copy.,ISM Code regulation 11 'Documentation' is misinterpreted.,The Master began keeping the documentation in hard copy in order to satisfy the PSC Inspector.,The Classification Society was invited to conduct an Occasional Survey.,There will be an Internal Audit within 3 months and an External Audit within the next H&S meeting.,No
14502,Low,2023-06-12,3152,Dry Bulk,12.114989733059549,The Gaga card was thrown on theOOP deck.,The exposed area caused the garbage placards to fade.,There are human factors.,The placards were degraded as a result of the decks being exposed and the external accommodation being washed at regular intervals.,New placards were posted on the faded ones.,The vessel was told to carry out the PSC checks diligently.,No
11199,Low,2023-01-19,1166,General Cargo,13.467488021902806,"As per the PSC report requirement, the forward liferaft operating instruction was not complied with.","As per the PSC report, the forward liferaft operating instruction was not complied with.",Failure to follow procedure,The review instruction was not adequate.,"All codes were upgraded to '10- rectified' after a follow-up inspection in Townsville, Australia.",The Quarterly Safety Bulletin raises awareness among the crew.,No
13199,Low,2022-09-20,3570,Dry Bulk,16.470910335386723,The control engine room has Propulsion and auxiliary machinery.,The bell and strobe call alarms for the telephone by the M/E local control stand were not working.,There are human factors.,Poor insulation from the stern navigation light and the old electric line caused the low insulation on the main switch board.,Keep insulation in the main switch board when replacing a new electric line and carry out a waterproof measure.,The master and C/E inspect the auxiliary and the responsible person should report any deficiencies to the master and chief engineer.,No
14703,Low,2024-04-24,5171,Dry Bulk,12.147843942505132,Not according to regulation.,It is not clean.,"The flap cannot move due to rusty and no greasing, the cause being lack of inspection and maintenance.",The vessel's hull was not clean due to the long stay in the previous port of call.,"Due to vessel's short stay, the hull cleaning was postponed for the next Fujairah call on April 30th, 2024.",In due time deficiency will be shared with all managed vessels.,No
3105,Low,2023-08-15,3152,Container,10.3709787816564,The hatch of E/R Sky lacks nuts.,"The Hatch of E/R Sky lack of two nuts, the Access cover of S/G RM lack of three nuts, and the Access cover of Rope store lack of two nuts.",The crew did not follow the inspection.,The crews did not pay attention to the lack of nuts.,The crews put back butterfly nuts in the presence of PSC officers.,The nuts should be put back after opening the covers.,No
