deficiency_code,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency,adjusted_severity
1223,2800,Chemical,7.238877481177276,VESSEL AND PORT MAINTAINING SECURITY level 2 is not required.,There are inconsistencies between the descriptions of the IBWM certificate and the BWMP.,There are human factors.,There are human factors.,Various security levels were explained and the same to be emphasized during the pre-cargo meeting at each port call.,"During the pre- cargo meeting at each port call, security measures to be followed must be discussed with the watchkeepers.",No,3
14501,1000009,General Cargo,14.124572210814511,Garbage on the plane.,Garbage on the plane.,The changeover pump was not achieved.,"Garbage was not allowed at Algerian Ghazaout and Arzew, which was the last port of call.",Garbage was dumped on 16/Nov PM after complete PSC inspection.,Fleet vessels were prioritized on landing the garbage based on next voyage length and garbage retention space.,No,2
13101,1366,Dry Bulk,18.90759753593429,There is a hot water leak.,"The needle indicator on the pressure gauge was found to be half broken, but the gauge was functioning.",Mission not provided by the port.,Insufficient parts substitution/replacement is a problem.,"The guidance on the inspection and Maintenance of structure on deck, Hull, and accommodation was given by the master.",The Safety Meeting Master will discuss the deficiency with all crew during the next safety meeting and emphasize regular inspection.,No,1
4108,3284,Dry Bulk,1.2375085557837098,"The muster list does not specify which officers are assigned to ensure that life-saving and fire appliances are maintained in good condition and are ready for immediate use or replacements for key persons who may become disabled, taking into account that different emergencies may call for different actions.","The muster list was not specified which officers are assigned to ensure that life-saving and fire appliances are maintained in good condition and are ready for immediate use or replacements for key persons who may become disabled, taking into account that different emergencies may call for different actions.",The procedure for changing from AC to DC power was not explained by the 3rd officer.,The muster list did not specify which officers are assigned to ensure that life-saving and fire appliances are maintained in good condition and are ready for immediate use or replacements for key persons who may become disabled.,The crew's responsibilities were educated after the muster list was revised to specify which officers are assigned to ensure that LSA/FFA are maintained in good condition.,"Through the fleetwide warning notice for immediate action and company official circular, this information was addressed to the fleet vessels to train the crew members onboard.",No,1
14101,3378,Dry Bulk,10.105407255304586,Oily mixture overflow is prevented by SAVE-all TRAY.,The basin tap in the Seaman cabin is loose.,The Save Oil tray was not given from the yard and the L.O fine filter was not used.,ME L.O fine filters are not normally used.,Saved all tray was fabricated after taking hot work approval form.,"If the system is used, save the tray for the filter.",No,1
14811,3378,Dry Bulk,13.281314168377824,The exhaust is not marked open.,The exhaust is not marked open.,There is a missing log in the official logbook.,The stencilling was not followed up after the painting was done.,The open and close position for the galley exhaust vent head was immediately stencilled.,"After the maintenance is done, always cross check the officers and safety officer.",No,1
3199,3126,General Cargo,23.091033538672143,There is hot water in the dishwasher.,A hazard to personnel was caused by shattered gauge glass on the hot well.,Poor certificate management by Master resulted in EIAPP certificate not being returned to certificate file folder.,Insufficient knowledge by attending the RINA Surveyor to issue the proper EIAPP Certificates.,The hot water well was cleaned.,I don't know.,No,1
9223,2637,Chemical,14.603696098562628,SWL is not marked on the gangway.,There is no mark on the port side and stbd side ladder boarding platform.,"The deck crew forgot to mark on the upper and lower platform of the gangway after applying paint as routine maintenance, which was overlooked by deck officers due to lack of gangway access safety and situational awareness.","When facing the center of the gangway, the SWL was not seen by the safety officer and master.",The SWL sign was put in place at the entrance of the gangway before the inspector disembarked.,"If SWL is visible from all sides for a person climbing the gangway, the ships will have to follow up across other vessels.",No,1
4114,1000355,Dry Bulk,14.718685831622176,The emergency generator quick closing valve is malfunctioning.,There is no copy of the certificate of safety training in the documents.,No pre-arrival check and test was carried out before the ship docked.,"Lack of situational awareness, risk perception, and risk awareness are some of the Basic/Root Cause-Personal Factors.",The fixed bolts were tightened and no leaks were observed.,The weekly test and pre-arrival test of Quickly Close Valves should be conducted as per requirement.,No,2
18201,3275,Chemical,8.758384668035593,Rest hours are insufficient.,The master was instructed to make improvements from the date of the inspection.,There are human factors.,There are human factors.,Some of the non-conformities due to non-routine work like Tank clean or cargo operation could have been avoided by good planning.,The recent advancement of Jibe work & rest hour module has enabled the ship master to monitor trends and non-Confermities in data presentation mode.,No,2
