PscInspectionId,annotation_id,username,InspectionDate,VesselId
1702496,42180251,mihail,2023-04-24,141884
1702496,42532116,marc,2023-04-24,141884
1702496,42631723,raul,2023-04-24,141884
1795901,42190695,mihail,2024-03-11,292540
1795901,42851742,raul,2024-03-11,292540
1795901,43136020,marc,2024-03-11,292540
1667488,42224469,mihail,2022-12-13,303546
1667488,43206905,marc,2022-12-13,303546
1667488,43217322,raul,2022-12-13,303546
1733202,42224484,mihail,2023-08-04,286265
1733202,43223142,raul,2023-08-04,286265
1733202,43252702,marc,2023-08-04,286265
1750422,42224513,mihail,2023-09-29,309356
1750422,43073507,raul,2023-09-29,309356
1750422,43091494,marc,2023-09-29,309356
1662889,42224521,mihail,2022-11-21,292830
1662889,43070606,raul,2022-11-21,292830
1662889,43093151,marc,2022-11-21,292830
1772839,42335935,mihail,2023-12-20,307588
1772839,42533767,marc,2023-12-20,307588
1772839,42633691,raul,2023-12-20,307588
1653035,42335957,mihail,2022-10-19,304090
1653035,42852290,raul,2022-10-19,304090
1653035,43138000,marc,2022-10-19,304090
1713827,42336239,mihail,2023-05-30,307027
1713827,43223045,raul,2023-05-30,307027
1713827,43246977,marc,2023-05-30,307027
1783165,42336272,mihail,2024-01-29,143433
1783165,42462487,marc,2024-01-29,143433
1783165,42601559,raul,2024-01-29,143433
1667753,42336292,mihail,2022-09-28,290759
1667753,43223001,raul,2022-09-28,290759
1667753,43254150,marc,2022-09-28,290759
1713486,42336424,mihail,2023-05-10,306730
1713486,42533235,marc,2023-05-10,306730
1713486,42661749,raul,2023-05-10,306730
1629601,42336488,mihail,2022-08-08,273076
1629601,42533993,marc,2022-08-08,273076
1629601,42661602,raul,2022-08-08,273076
1626134,42336530,mihail,2022-07-20,287602
1626134,43190863,raul,2022-07-20,287602
1626134,43193118,marc,2022-07-20,287602
1699381,42336682,mihail,2023-04-12,146028
1699381,43071106,raul,2023-04-12,146028
1699381,43096847,marc,2023-04-12,146028
1796802,42336745,mihail,2024-03-16,285119
1796802,42902734,raul,2024-03-16,285119
1796802,43089496,marc,2024-03-16,285119
1636003,42336842,mihail,2022-08-23,292038
1636003,42992530,raul,2022-08-23,292038
1636003,43043366,marc,2022-08-23,292038
1683564,42336933,mihail,2023-02-15,276552
1683564,42532683,marc,2023-02-15,276552
1683564,42733811,raul,2023-02-15,276552
1826712,42336981,mihail,2024-06-28,275005
1826712,43188389,raul,2024-06-28,275005
1826712,43194093,marc,2024-06-28,275005
1764729,42337039,mihail,2023-11-20,294035
1764729,42893550,raul,2023-11-20,294035
1764729,43136620,marc,2023-11-20,294035
1818811,42337054,mihail,2024-06-04,325855
1818811,43190660,raul,2024-06-04,325855
1818811,43191652,marc,2024-06-04,325855
1702450,42337078,mihail,2023-04-23,288100
1702450,42534537,marc,2023-04-23,288100
1702450,42601593,raul,2023-04-23,288100
1805889,42337213,mihail,2024-04-18,316807
1805889,43069607,raul,2024-04-18,316807
1805889,43093081,marc,2024-04-18,316807
1713887,42339000,mihail,2023-05-30,309584
1713887,42901999,raul,2023-05-30,309584
1713887,42987573,marc,2023-05-30,309584
1656849,42339057,mihail,2022-11-01,273120
1656849,43001411,raul,2022-11-01,273120
1656849,43125162,marc,2022-11-01,273120
1810111,42339124,mihail,2024-05-08,306580
1810111,42894411,raul,2024-05-08,306580
1810111,43134307,marc,2024-05-08,306580
1793196,42339152,mihail,2024-02-25,293327
1793196,42535749,marc,2024-02-25,293327
1793196,42601357,raul,2024-02-25,293327
1683470,42339177,mihail,2023-02-13,287224
1683470,42852360,raul,2023-02-13,287224
1683470,43125184,marc,2023-02-13,287224
1629002,42339325,mihail,2022-08-05,285992
1629002,42902607,raul,2022-08-05,285992
1629002,43092387,marc,2022-08-05,285992
1730199,42339357,mihail,2023-07-21,303941
1730199,42734488,raul,2023-07-21,303941
1730199,43135280,marc,2023-07-21,303941
1624336,42339556,mihail,2022-07-13,284732
1624336,43192443,raul,2022-07-13,284732
1624336,43192621,marc,2022-07-13,284732
1683812,42339608,mihail,2023-02-16,290996
1683812,42892486,raul,2023-02-16,290996
1683812,43183748,marc,2023-02-16,290996
1695905,42339690,mihail,2023-03-27,291864
1695905,43222399,raul,2023-03-27,291864
1695905,43248092,marc,2023-03-27,291864
1781433,42339784,mihail,2024-01-23,297058
1781433,43186301,raul,2024-01-23,297058
1781433,43187241,marc,2024-01-23,297058
1811040,42339836,mihail,2024-03-25,270392
1811040,43222980,raul,2024-03-25,270392
1811040,43254367,marc,2024-03-25,270392
1769937,42339965,mihail,2023-12-02,290569
1769937,42535939,marc,2023-12-02,290569
1769937,42601767,raul,2023-12-02,290569
1780917,42340008,mihail,2024-01-18,299802
1780917,43222162,raul,2024-01-18,299802
1780917,43252378,marc,2024-01-18,299802
1675798,42340039,mihail,2023-01-12,279884
1675798,42534037,marc,2023-01-12,279884
1675798,42733013,raul,2023-01-12,279884
1786060,42340139,mihail,2024-02-07,282596
1786060,43222993,raul,2024-02-07,282596
1786060,43252433,marc,2024-02-07,282596
1815404,42340172,mihail,2024-05-22,289325
1815404,42910481,raul,2024-05-22,289325
1815404,43125283,marc,2024-05-22,289325
1727557,42340273,mihail,2023-07-11,286740
1727557,42851800,raul,2023-07-11,286740
1727557,43102034,marc,2023-07-11,286740
1629116,42340309,mihail,2022-08-08,307071
1629116,42903013,raul,2022-08-08,307071
1629116,43090207,marc,2022-08-08,307071
1769937,42340384,mihail,2023-12-02,290569
1769937,42466855,marc,2023-12-02,290569
1769937,42635559,raul,2023-12-02,290569
1816538,42340471,mihail,2024-05-22,282161
1816538,42992454,raul,2024-05-22,282161
1816538,43090840,marc,2024-05-22,282161
1806881,42340543,mihail,2024-04-23,294450
1806881,43073503,raul,2024-04-23,294450
1806881,43101366,marc,2024-04-23,294450
1666574,42340660,mihail,2022-12-07,306936
1666574,43071007,raul,2022-12-07,306936
1666574,43098208,marc,2022-12-07,306936
1779229,42340705,mihail,2024-01-15,288310
1779229,43222962,raul,2024-01-15,288310
1779229,43254107,marc,2024-01-15,288310
