PscInspectionId,deficiency_code,annotation_id,username,annotation_severity,def_text,InspectionDate,VesselId,PscAuthorityId,PortId,VesselGroup,age
1729325,11122,43069756,raul,,"PscInspectionId: 1729325

Deficiency/Finding: NUMBER OF TWO-WAY VHF NOT MARKED BY IMO SYMBOL ON BRIDGE.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: The investigation revealed that all IMO signs onboard are maintained in proper condition and the root cause of this deficiency lies with the safety officer's failure to identify the missing IMO symbol of the two-way VHF. (Human Factor / Situation awareness).

Corrective Action: The abnormality rectified on the spot of the PSCO.

Preventive Action: The deficiencies discussed during the safety meeting under Master's supervision in order to avoid re-occurrence with the participation of all Deck Personnel. The Chief Officer and 3rd Officer were instructed to check that all IMO symbols are properly placed as per the safety and fire control plan. Compliance was confirmed. The Company's Auditors/Superintendents were briefed regarding the imposed deficiency and were requested, during their on-board visits, to always check that the IMO symbols and signs are properly posted in place.

Deficiency Code: 11122

Detainable Deficiency: No",2023-07-20,143073,9,3152,Container,22.713210130047912
1677121,11199,42460941,marc,,"PscInspectionId: 1677121

Deficiency/Finding: Def 2 from February 2022 PSC re forward liferaft operating instruction not complied as per PSC report requirement.

Description Overview: As per PSC report: Def 2 from February 2022 PSC re: forward liferaft operating instruction not complied as per PSC report requirement. Nature of defect: Not as required. Convention reference: SOLAS, Grounds for detention: No.

Immediate Causes: Failure to Follow Procedure / Instruction
Introduction: This deficiency was recorded by Himeji - Japan PSC (Tokyo MOU).
What happened: The Life raft is located in the center of breakwater with launching instruction above. The launching instruction should be readable in day and night, however there were no emergency lights in the location where Liferaft was installed - that was the deficiency raised in Japan.
How it happened / Rectification : The problem was solved in Feb-2022 by placing two more instructions, one of them on p/s and one on s/s close to rotatable emergency projectors for disembarkation. The Problem solved locally, but was not closed by Tokyo MoU. Rectification : Approved letter from Class was provided during follow-up AMSA Inspection.

Root Cause Analysis: Inadequate review instruction
As explained above

Corrective Action: Approved letter from Class was provided. Conducted Follow-up inspection in Townsville, QLD (Australia) / 30-Jan-2023 where rectification of all deficiencies verified / all codes downgraded to '10- rectified'

Preventive Action: Raising awareness among the crew through the Quarterly Safety Bulletin

Deficiency Code: 11199

Detainable Deficiency: No",2023-01-19,281067,1,1166,General Cargo,13.467488021902806
1782059,14608,42460635,marc,,"PscInspectionId: 1782059

Deficiency/Finding: Each incinerator subject to this paragraph shall be approved by the Administration, considering the standard specifics for shipboard incinerators developed by the organization. PSCO observed missing brick refractory.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: The missing brick refractory in the incinerator may have occurred due to continuous exposure to high temperature and vibration, which could affect the condition of the bricks inside the incinerator. However, due to the location of the bricks under the stainless steel, the evaluation of the condition, such as one damaged brick, during routine inspection was overlooked.

Corrective Action: The missing brick refractory was replaced in the incinerator to ensure compliance with regulatory requirements and standards. The maintenance report from the captain reflects the completion of the job.

Preventive Action: The ISM department issued a circular titled 'Condition of Incinerator Room,' addressing the evaluation of the incinerator's condition. A safety meeting must be convened to familiarize the crew with the new circular. Additionally, this matter will be inspected on board other vessels during internal audits.

Deficiency Code: 14608

Detainable Deficiency: No",2024-01-17,278536,10,1002403,General Cargo,16.629705681040384
1814726,15199,43187997,marc,,"PscInspectionId: 1814726

Deficiency/Finding: CREW NOT FAMILIAR WITH SEEMP PART III.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: There may not be adequate training programs in place to educate the crew on SEEMP Part III. & SEEMP PART III DOCUMENT WAS MISSING DURING INSPECTION.

Corrective Action: REPORTED TO COMPANY AND SUPPLIED WITH RELEVANT DOCUMENT PERTAINING TO SEEMP PART III. Conduct mandatory training sessions focused on SEEMP Part III for all crew members.

Preventive Action: BRIEFING/FAMILIARIZATION CARRIED TO ALL OFFICERS AND CREW, ENSURE DOCUMENTS ARE COMPLETE AND ADVISE COMPANY IF FOUND MISSING DOCUMENT. Organize workshops and practical drills to ensure crew members understand and can apply the principles of SEEMP Part III. & Conduct regular internal audits to ensure compliance with SEEMP Part III and identify areas for improvement.

Deficiency Code: 15199

Detainable Deficiency: No",2024-05-14,296385,9,3378,Dry Bulk,11.364818617385351
1752817,10109,43002572,raul,,"PscInspectionId: 1752817

Deficiency/Finding: Two red lights for NUC - not lighting up.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: Crew checked NUC lights whilst drifting off Japan coast, and on 07 Oct 2023 at Mizushima anchorage, found in good working order. Crew did not double check NUC lights after berthing Mizushima on 08 Oct 2023. Light bulb busted due to vessel vibration.

Corrective Action: Upon crews checking, found out that NUC light bulbs busted and need to be replaced. Crew immediately replaced the busted light bulbs with new spare bulbs onboard.

Preventive Action: To carry out inspection especially upon alongside berth and test NUC lights if in good working condition. Navigation lights shall be checked as per company procedure checklists for pre- arrival, pre-departure and changing over the watch. Adequate spare bulbs to be carried on board.

Deficiency Code: 10109

Detainable Deficiency: No",2023-10-10,296378,9,97,Dry Bulk,8.772073921971252
1743177,18401,43216877,raul,,"PscInspectionId: 1743177

Deficiency/Finding: The First Aid chest drug name (Ammonia Inhalants) at bridge was expired

Description Overview: The medicine was expired on 31st of August and it was not removed from the first aid kit at bridge.

Immediate Causes: UNKNOWN

Root Cause Analysis: Inadequate supervision

Corrective Action: The expired medicine was removed immediately

Preventive Action: The deficiency will be circulated to the managed fleet for Masters' and crews' reference. Same to be discussed in next Safety Committee Meeting.

Deficiency Code: 18401

Detainable Deficiency: No",2023-09-08,304687,9,3083,Dry Bulk,8.271047227926077
1793354,4114,42748823,mihail,,"PscInspectionId: 1793354

Deficiency/Finding: Emergency generator failed to take emergency power

Description Overview: Emergency generator failed to take emergency power

Immediate Causes: UNKNOWN

Root Cause Analysis: During Emergency Dg test at Transport Canada PSC inspection, emergency d/g has been started and connected to emergency bus bar in manual mode and could take the load. But emergency d/g failed to take emergency power at automatic operation mode. Emerg dg has been tested on 24.02.2024 at weekly routine inspection & on 27.01.2024 for Black Out test (3 monthly) as per PMS. All tests found working properly at manual mode and auto mode. But the time of inspection, d/g failed at auto mode due to ACB failure. Root Cause:
-ACB not functioning on-load automatic procedure
-ACB Internal mechanism was broken while testing in auto mode at PSC inspection

Corrective Action: -Company has been informed regarding to emerg d/g ACB fault with defect report No 24-002
-Necessary spare part requestion has been sent to the company with SP24-006 form number
-Company spare part department contacted with supplier and order already confirmed by supply department. Order confirmation is already attached to this NCR
-As per received information from supplier, lead time for delivery from warehouse is about 20 days
-Company technical department contacted to LR Class to issue short term certificate due to long delivery time of spare part
-RA regarding to defective emerg d/g auto mode has been prepared by vessel
-Class inspection has been carried out at Vancouver on 28.02.2024 (class report as attached of NCR)
-Short term safety construction certificate has been issued with 29.03.2024 expired date by LR class under authorization of flag.

Preventive Action: -All officers have been advised and briefed by Master & Chief Engineer regarding to routine control and checks of critical equipment including emerg dg
-RA items will be briefed with all crew
-All crew will be informed regarding the related subject at first safety meeting accordingly.
-Subject of finding will be circulated to fleet vessels, to avoid similar occurrence.
-Implementation of preventive action will be checked on board by Supt. at first visit or at internal audit.

Deficiency Code: 4114

Detainable Deficiency: No",2024-02-26,292753,7,2727,Dry Bulk,12.320328542094456
1695313,1125,43134898,marc,,"PscInspectionId: 1695313

Deficiency/Finding: Engine International Air Pollution Prevention Certificate for Main Engine and Auxiliary Engines issued under the authority of the Government of the Republic of Singapore.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: Inadequate familiarisation with ship's certificates proper. Although there were EIAPPs cert issued by previous class DNV on behalf of Bahamas flag, same were not presented to PSC Officers during inspection. Instead, the EIAPPs presented were those issued by Korean Register when vessel delivered by shipyard under Singapore flag. Inadequate Information Document. Class RINA omitted to issue EIAPPs certificate during the last special survey and transfer of class. Inadequate Supervision / Coaching. Lack of cross-check / follow-up of certificates issued by Class by Company's attending Superintendent.

Corrective Action: a)Contacted Class RINA, who issued corrected EIAPP Certificates for Main Engine and Auxiliary Engines stipulating clearly Bahamas Flag Administration details, as per attached objective evidence. b) A new detailed Index of vessel certificates files was established and followed by the Master and Ch.Eng. Master and Ch.Eng was fully familiarised with all existing vessel certificates.

Preventive Action: Company dispatched Safety Manager onboard, who attended vessel prior departure from inspection port and during a Safety Meeting discussed with Master and all senior officers the ship's certificates maintenance, correct location to be filed as per Company's establish Index of certificates. The Observation was circulated fleetwide, and all ship's under Company's management instructed to confirm that vessel's EIAPPs certificates are issued on behalf of current flag administration. The root cause of this deficiency incorporated in the agenda of next Company's Shore Safety Meeting. Company's Superintendents were reminded to check when certificates are issued Class surveyors.

Deficiency Code: 1125

Detainable Deficiency: No",2023-03-27,292960,7,490,Dry Bulk,10.735112936344969
1715911,14302,42369398,guru,,"PscInspectionId: 1715911

Deficiency/Finding: Engine room sea chest valve open/close marking not in contrasting colour.

Description Overview: UNKNOWN

Immediate Causes: All sea chest valves are periodically checked, maintained and records are maintained. During the inspection , The sea chest valve open/close marking is not marked with a contrasting color, making it difficult to confirm their identification during visual inspections, resulting in the observation. The crew members was aware of the inspection requirements for the onboard sea chest valves, and carried out monthly inspections.

Root Cause Analysis: Incorrect Marking

Corrective Action: 1. All onboard valves with open/closing markings are inspected and marked with contrasting colors for easy identification. 2. Briefed on board by chief engineer and emphasized on the importance of marking.

Preventive Action: Vessel superintendent discussed the observation with Master and Chief Engineer to prevent repeat of similar observation. The observation has been included into company Database from where repeat and/or significant observations are selected for inclusion in periodic circulation of repeat observation.

Deficiency Code: 14302

Detainable Deficiency: No",2023-06-01,285707,9,292,Liquefied Gas,13.831622176591376
1675998,15108,42435073,guru,,"PscInspectionId: 1675998

Deficiency/Finding: UNKNOWN

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: Human error, ISM failure Basic/Underlying Causes: Lack of knowledge; inadequate supervision

Corrective Action: The company immediately reviewed the training program and evaluate the possibility to add more trainings. Aditional Internal Audit performed 11 July 2022 in Moerdijk, Netherlands. Internal Audit report in working activity and in progress.

Preventive Action: The implementation of all relevant procedures will be specially focussed on during the next regular Audits throughout the fleet.

Deficiency Code: 15108

Detainable Deficiency: No",2023-01-13,276079,7,4402,General Cargo,16.199863107460644
